NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00359,515,181,34,0,34,0,181,N/A,23,5,168
00360,1059,1616,2344,0,2344,0,1616,N/A,235,62,570
00361,0,326,0,0,0,0,326,N/A,0,0,78
00362,0,57,0,0,0,0,57,N/A,0,0,46
00363,0,70,0,0,0,0,70,N/A,0,0,48
00364,0,37,0,0,0,0,37,N/A,0,0,42
00365,0,38,0,0,0,0,38,N/A,0,0,43
00366,40,96,93,0,93,0,96,N/A,33,10,150
00367,40,96,93,0,93,0,96,N/A,34,9,142
00368,6657,25628,45805,0,45805,0,25628,N/A,5286,992,9102
00369,10978,39919,88909,0,88909,0,39919,N/A,9729,1698,15897
00370,12070,56379,96003,0,96003,0,56379,N/A,10859,1804,17780
00371,7464,27758,75473,1025,75059,617,28375,N/A,11056,1559,16812
00372,557,1077,709,176,709,176,1253,N/A,691,23,1048
00373,668,1297,832,189,832,189,1486,N/A,960,27,1470
00374,8270,30220,165691,7679,165329,7317,37537,N/A,82366,2147,91689
00375,12632,45457,280020,6795,279741,6516,51973,N/A,176250,3516,192410
00376,694,1286,7646,7016,7645,7015,8301,N/A,1107,457,2191
00377,570,1006,6860,6376,6860,6376,7382,N/A,830,485,1784
00378,21423,58205,448994,7332,447679,6045,64250,N/A,465325,18037,TIMEOUT
00379,38615,90653,732788,9814,730579,7739,98392,N/A,359339,51330,TIMEOUT
00380,3141,6000,3256,302,3256,302,6302,N/A,10802,65,15112
00381,3216,6053,3499,534,3499,534,6587,N/A,13481,58,18370
00382,8378,47281,148266,37333,141513,30581,77862,N/A,139824,2453,285408
00383,13719,65847,483995,68326,473252,57614,123460,N/A,253221,6584,TIMEOUT
00384,732,548,1782,648,1782,648,1196,N/A,380,61,715
00385,829,573,2849,1334,2679,1165,1737,N/A,517,118,936
00386,7559,28570,54113,45,54105,37,28607,N/A,5803,812,9584
00387,12025,44320,113032,19577,112557,19102,63422,N/A,15212,3220,27186
00388,106,212,138,32,138,32,244,N/A,132,9,261
00389,100,200,100,0,100,0,200,N/A,162,6,289
00390,7029,26439,79372,15235,78751,14646,41085,N/A,40373,1391,71855
00391,11279,40960,131064,15507,130533,15007,55967,N/A,75712,2680,147432
00392,608,1213,8911,8279,8911,8279,9492,N/A,3995,674,6587
00393,776,1552,6414,5597,6414,5597,7149,N/A,5267,284,7785
00394,9071,31193,67946,2177,67711,1943,33135,N/A,18834,1158,34910
00395,21802,60146,492002,49344,479881,47,60193,N/A,458629,107827,TIMEOUT
00396,597,1153,1189,619,1189,619,1772,N/A,1192,51,1744
00397,1494,2922,7250,5799,7250,5799,8721,N/A,4793,249,6987
00398,7419,27696,74304,744,74046,492,28188,N/A,10142,1231,15429
00399,512,991,612,122,612,122,1113,N/A,725,20,1052
00400,7999,29907,58925,861,58760,696,30603,N/A,10016,1083,14880
